instansi,bagian,uraian,program,kegiatan,sub_kegiatan,sub_rincian,Cluster
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,belanja kertas cover belanja bahan cetakbelanja bahan komputer sub keg pelaksanaan koordinasi bidang pendidikan politik etika budaya politik peningkatan demokrasi,program peningkatan peran partai politik lembaga pendidikan pendidikan politik pengembangan etika budaya politik,perumusan kebijakan teknis pemantapan pelaksanaan bidang pendidikan politik etika budaya politik peningkatan demokrasi fasilitasi kelembagaan pemerintahan perwakilan partai politik pemilihan pemilihan kepala daerah pemantauan situasi politik,pelaksanaan koordinasi bidang pendidikan politik etika budaya politik peningkatan demokrasi fasilitasi kelembagaan pemerintahan perwakilan partai politik pemilihan pemilihan kepala daerah pemantauan situasi politik daerah,belanja alat bahan kegiatan kantor kertas cover,1
dinas pemuda olahraga,bidang peningkatan prestasi olahraga,belanja gu biaya juli kegiatan koordinasi sinkronisasi pelaksanaan penyediaan sarana prasarana kabupatenkota,program pengembangan kapasitas daya saing keolahragaan,pembinaan pengembangan olahraga pendidikan jenjang pendidikan kewenangan daerah kabupaten kota,koordinasi sinkronisasi pelaksanaan penyediaan sarana prasarana olahraga kabupaten kota,belanja modal bangunan gedung olahraga,4
dinas perhubungan,upt perhubungan wilayah v,sub kegiatan rehabilitasi pemeliharaan perlengkapan jalan juni upt wilayah v jasinga,program penyelenggaraan lintas angkutan jalan llaj,penyediaan perlengkapan jalan jalan kabupaten kota,rehabilitasi pemeliharaan perlengkapan jalan,belanja pemeliharaan alat besaralat bantuunit pemeliharaan lapangan,3
dinas pemuda olahraga,sekretariat dispora,belanja alat bahan kegiatan kantor bahan cetak kegiatan pelaksanaan penatausahaan pengujiverifikasi keuangan skpd termin,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi keuangan perangkat daerah,pelaksanaan penatusahaan pengujian verifikasi keuangan skpd,belanja alat bahan kegiatan kantor bahan cetak,4
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan keuangan infrastruktur desa tahap i kegiatan pengaspalan jalan desa desa cimanggu i kec cibungbulang hr,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa,1
dinas pekerjaan penataan ruang,bidang jasa konstruksi,belanja alatbahan kegiatan kantor bahan cetak subsub kegiatan bimtek peningkatan kapasitas badan usaha rangka perizinan,program pengembangan jasa konstruksi,penerbitan izin usaha jasa konstruksi nasional non,pembinaan peningkatan kapasitas badan usaha jasa konstruksi,belanja alat bahan kegiatan kantor bahan cetak,2
dinas pemuda olahraga,sekretariat dispora,belanja kegiatan koordinasi penyusunan dokumen rka skpd,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,koordinasi penyusunan dokumen rka skpd,belanja alat bahan kegiatan kantorbenda pos,1
dinas komunikasi informatika,bidang aplikasi teknologi informasi infrastruktur informasi,belanja bahan cetak bahan komputer perjalanan dinas kota sub kegiatan pengembangan aplikasi proses bisnis pemerintahan berbasis elektronik,program pengelolaan aplikasi informatika,pengelolaan e government lingkup pemerintah daerah kabupaten kota,pengembangan aplikasi proses bisnis pemerintahan berbasis elektronik,belanja perjalanan dinas kota,2
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan alokasi dana desa tahap ii desa purwabakti kec pamijahan,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa bersumber alokasi dana desa,1
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan alokasi dana desa tahap ii desa babakan madang kec babakan madang,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa bersumber alokasi dana desa,1
dinas perhubungan,upt perhubungan wilayah iii,sub kegiatan rehabilitasi pemeliharaan perlengkapan jalan juli upt wilayah iii ciawi,program penyelenggaraan lintas angkutan jalan llaj,penyediaan perlengkapan jalan jalan kabupaten kota,rehabilitasi pemeliharaan perlengkapan jalan,belanja alat bahan kegiatan kantor bahan cetak,3
dinas pekerjaan penataan ruang,bidang penyehatan lingkungan,pembayaran termin kesatu pembangunan ipal skala permukiman minimal kk desa cogreg kecamatan parung dak fisik reguler pengembangan sistem pengelolaan air limbah domestik terpusat spaldt dak,program pengelolaan pengembangan sistem air limbah,pengelolaan pengembangan sistem air limbah domestik daerah kabupaten kota,pembangunan penyediaan sistem pengelolaan air limbah terpusat skala permukiman,belanja hibah uang badan lembaga nirlaba sukarela bersifat sosial kemasyarakatan,2
dinas kependudukan pencatatan sipil,sekretariat disduk,pengajuan gu sub kegiatan pendataan pengolahan administrasikepegawaian agustus,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi kepegawaian perangkat daerah,pendataan pengolahan administrasikepegawaian,belanja makanan minuman rapat,4
dinas pendidikan,bidang sarana prasarana,pembayaran hibah mi nurul islamiyah,program pengelolaan pendidikan,pengelolaan pendidikan sekolah dasar,rehabilitasi berat ruang kelas,belanja hibah uang badan lembaga nirlaba sukarela bersifat sosial kemasyarakatan,2
dinas pendidikan,bidang sarana prasarana,pembayaran hibah mis al ianah,program pengelolaan pendidikan,pengelolaan pendidikan sekolah dasar,rehabilitasi berat ruang kelas,belanja hibah uang badan lembaga nirlaba sukarela bersifat sosial kemasyarakatan,2
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan keuangan infrastruktur desa tahap i kegiatan betonisasi jalan desa setu kec jasinga hr,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa,1
dinas pekerjaan penataan ruang,bidang jasa konstruksi,belanja alatbahan kegiatan kantor bahan cetak subsub kegiatan penyusunan sistem database pemanfaatan sarana puan,program penyelenggaraan jalan,penyelenggaraan jalan kabupaten kota,pengelolaan leger jalan,belanja alat bahan kegiatan kantor bahan cetak,2
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan keuangan infrastruktur desa tahap i kegiatan tpt desa cilebut timur kec sukaraja hr,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa,1
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,belanja perjalanan dinas kota sub keg pelaksanaan monitoring evaluasi pelaporan bidang pendidikan politik,program peningkatan peran partai politik lembaga pendidikan pendidikan politik pengembangan etika budaya politik,perumusan kebijakan teknis pemantapan pelaksanaan bidang pendidikan politik etika budaya politik peningkatan demokrasi fasilitasi kelembagaan pemerintahan perwakilan partai politik pemilihan pemilihan kepala daerah pemantauan situasi politik,pelaksanaan monitoring evaluasi pelaporan bidang pendidikan politik etika budaya politik peningkatan demokrasi fasilitasi kelembagaan pemerintahan perwakilan partai politik pemilihan pemilihan kepala daerah pemantauan situasi politik daerah,belanja perjalanan dinas kota,1
dinas pekerjaan penataan ruang,bidang irigasi sumberdaya air,pembayaran termyn i termyn ii prestasi pekerjaan subsub kegiatan penyusunan ded tanggul penahan tebing paket ix,program pengelolaan sumber daya air sda,pengembangan pengelolaan sistem irigasi primer sekunder daerah irigasi luasnya ha daerah kabupaten kota,penyusunan rencana teknis dokumen lingkungan hidup konstruksi irigasi rawa,belanja modal bangunan air irigasi,2
dinas kesehatan,sekretariat dinas kesehatan,pembayaran ls belanja tagihan listrik sub kegiatan penyediaan jasa komunikasi sumber daya air listrik tagihan agustus,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja tagihan listrik,3
dinas pemuda olahraga,sekretariat dispora,belanja perjalanan dinas kota kegiatan evaluasi kinerja perangkat daerah,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,evaluasi kinerja perangkat daerah,belanja perjalanan dinas kota,4
dinas kesehatan,rsud cibinong,pembayaran listrik agustus,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja tagihan listrik,3
dinas komunikasi informatika,bidang persandian statistik,honorarium narasumber sub kegaitan koordinasi sinkronisasi pengumpulan pengolahan analisis diseminasi data statistik sektoral,program penyelenggaraan statistik sektoral,penyelenggaraan statistik sektoral lingkup daerah kabupaten kota,koordinasi sinkronisasi pengumpulan pengolahan analisis diseminasi data statistik sektoral,honorarium narasumber pembahas moderator pembawa acara panitia,4
dinas pemuda olahraga,sekretariat dispora,belanja kegiatan koordinasi penyusunan perubahan dpa skpd,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,koordinasi penyusunan perubahan dpa skpd,belanja alat bahan kegiatan kantorbenda pos,1
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan alokasi dana desa tahap ii desa kalisuren kec tajurhalang,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa bersumber alokasi dana desa,1
dinas komunikasi informatika,bidang persandian statistik,belanja alat tulis kantor kertas cover bahan cetak bahan komputer honorarium narasumber sub kegiatan membangun metadata statistik sektoral,program penyelenggaraan statistik sektoral,penyelenggaraan statistik sektoral lingkup daerah kabupaten kota,membangun metadata statistik sektoral,belanja alat bahan kegiatan kantor kertas cover,1
dinas perhubungan,sekretariat dishub,sub keg pelaksanaan penatausahaan pengujianverifikasi keuangan skpd juni,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi keuangan perangkat daerah,pelaksanaan penatusahaan pengujian verifikasi keuangan skpd,belanja perjalanan dinas kota,3
dinas pendidikan,bidang pembinaan sd,pengajuan gu belanja hadiah bersifat perlombaan keg pembinaan minat bakat kreativitas siswa dau,program pengelolaan pendidikan,pengelolaan pendidikan sekolah dasar,pembinaan minat bakat kreativitas siswa,belanja hadiah bersifat perlombaan,2
dinas pemuda olahraga,sekretariat dispora,belanja kawat faksimili internet tv berlangganan kegiatan penyediaan jasa komunikasi sumber daya air listrik agustus,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja kawat faksimili internet tv berlangganan,4
dinas komunikasi informatika,sekretariat diskominfo,belanja alat tulis kantor kertas cover bahan cetak sub kegiatan evaluasi kinerja perangkat daerah,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,evaluasi kinerja perangkat daerah,belanja alat bahan kegiatan kantor kertas cover,1
dinas sosial,sekretariat dinsos,belanja makanan minuman rapat,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa pelayanan kantor,belanja makanan minuman rapat,4
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,honor pelatih kegiatan pra pemusatan pelatihan calon paskibraka tingkat kabupaten bogor tgl juli,program penguatan ideologi pancasila karakter kebangsaan,perumusan kebijakan teknis pemantapan pelaksanaan bidang ideologi pancasila karakter kebangsaan,perumusan kebijakan teknis bidang ideologi wawasan kebangsaan bela negara karakter bangsa pembauran kebangsaan bineka tunggal ika sejarah kebangsaan,honorarium narasumber pembahas moderator pembawa acara panitia,3
dinas pendidikan,bidang sarana prasarana,rehabilitasi ruang kelas beserta perabotnya sdn sukawangi kec sukamakmur dak fisik,program pengelolaan pendidikan,pengelolaan pendidikan sekolah dasar,rehabilitasi berat ruang kelas,belanja modal bangunan gedung pendidikan,3
dinas kesehatan,upt laboratorium kesehatan daerah,pembayaran ls belanja jasa tenaga belanja jasa tagihan juli sub kegiatan operasional pelayanan fasilitas kesehatan upt labkesda sumber dana dau tematik ditentukan,program pemenuhan upaya kesehatan perorangan upaya kesehatan masyarakat,penyediaan layanan kesehatan ukm ukp rujukan tingkat daerah kabupaten kota,operasional pelayanan fasilitas kesehatan,belanja jasa tenaga laboratorium,1
dinas pekerjaan penataan ruang,bidang penyehatan lingkungan,pembayaran termin pembangunan tangki septik skala individual perdesaan min kk desa ciomas kec tenjo dak fisik reguler pembangunanpenyediaan sistem pengelolaan air limbah terpusat skala permukiman,program pengelolaan pengembangan sistem air limbah,pengelolaan pengembangan sistem air limbah domestik daerah kabupaten kota,pembangunan penyediaan sistem pengelolaan air limbah terpusat skala permukiman,belanja hibah uang badan lembaga nirlaba sukarela bersifat sosial kemasyarakatan,2
dinas kesehatan,sekretariat dinas kesehatan,belanja tagihan telepon sub kegiatan penyediaan jasa komunikasisumber daya air listrik dinas kesehatan kabupaten bogor,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja tagihan telepon,3
dinas kependudukan pencatatan sipil,bidang pemanfaatan data inovasi pelayanan,pembayaran tagihan kawatfaksimiliinternet hosting wow dukcapil sub kegiatan fasilitasi terkait pengelolaan informasi administrasi kependudukan periode agustus,program pengelolaan informasi administrasi kependudukan,penyelenggaraan pengelolaan informasi administrasi kependudukan,fasilitasi terkait pengelolaan informasi administrasi kependudukan,belanja kawat faksimili internet tv berlangganan,1
dinas kependudukan pencatatan sipil,sekretariat disduk,pembayaran tagihan kawatfaksmiliinternet asnet sub kegiatan penyediaan jasa komunikasi sumber daya air listrik agustus,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja kawat faksimili internet tv berlangganan,3
dinas perhubungan,bidang lintas jalan,belanja bahanbahan bakar pelumas patwal sub keg pengawasan pengendalian efektivitas pelaksanaan kebijakan jalan kabupaten kota,program penyelenggaraan lintas angkutan jalan llaj,pelaksanaan manajemen rekayasa lintas jaringan jalan kabupaten kota,pengawasan pengendalian efektivitas pelaksanaan kebijakan jalan kabupaten kota,belanja bahanbahan bakar pelumas,4
dinas sosial,bidang rehabilitasi sosial,pemberian bimbingan sosial keluarga penyandang disabilitas terlantar anak terlantar usia terlantar gelandangan pengemis masyarakat,program rehabilitasi sosial,rehabilitasi sosial dasar penyandang disabilitas terlantar anak terlantar usia terlantar gelandangan pengemis panti sosial,pemberian bimbingan sosial keluarga penyandang disabilitas terlantar anak terlantar usia terlantar gelandangan pengemis masyarakat,honorarium narasumber pembahas moderator pembawa acara panitia,3
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan alokasi dana desa tahap ii desa cinangneng kec tenjolaya,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa bersumber alokasi dana desa,1
dinas perhubungan,bidang prasarana perlengkapan jalan,pembayaran belanja modal bangunan gedung kantor terminal jasinga sub kegiatan rehabilitasi pemeliharaan terminal fasilitas utama pendukung,program penyelenggaraan lintas angkutan jalan llaj,pengelolaan terminal penumpang tipe c,rehabilitasi pemeliharaan terminal fasilitas utama pendukung,belanja modal bangunan gedung kantor,3
dinas pekerjaan penataan ruang,bidang irigasi sumberdaya air,pembayaran termyn i termyn ii prestasi pekerjaan subsub kegiatan penyusunan ded tanggul penahan tebing paket ii,program pengelolaan sumber daya air sda,pengembangan pengelolaan sistem irigasi primer sekunder daerah irigasi luasnya ha daerah kabupaten kota,penyusunan rencana teknis dokumen lingkungan hidup konstruksi irigasi rawa,belanja modal bangunan air irigasi,2
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan alokasi dana desa tahap ii desa ciasmara kec pamijahan,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa bersumber alokasi dana desa,1
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,belanja makanan minuman rapat sub keg rekonsiliasi penyusunan laporan barang milik daerah skpd,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi barang milik daerah padaperangkat daerah,rekonsiliasi penyusunan laporan barang milik daerah skpd,belanja makanan minuman rapat,4
dinas pemuda olahraga,bidang layanan kepemudaan,honorarium narasumber pembahas moderator belanja jasa tenaga ahli sub kegiatan pelatihan kepemimpinan awardee beasiswa pancakarsa angkatan,program pengembangan kapasitas daya saing kepemudaan,penyadaran pemberdayaan pengembangan pemuda kepemudaan pemuda pelopor kabupaten kota wirausaha muda pemula pemuda kader kabupaten kota,pemberian penghargaan pemuda organisasi pemuda berjasa berprestasi,belanja jasa tenaga ahli,2
dinas komunikasi informatika,sekretariat diskominfo,belanja bahan cetak sub kegiatan penyediaan barang cetakan penggandaan,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi perangkat daerah,penyediaan barang cetakan penggandaan,belanja alat bahan kegiatan kantor bahan cetak,4
dinas perhubungan,bidang sarana transportasi jalan,koordinasi penyelenggaraan pengujian berkala kendaraan bermotor bln agustus,program penyelenggaraan lintas angkutan jalan llaj,pengujian berkala kendaraan bermotor,koordinasi penyelenggaraan pengujian berkala kendaraan bermotor,belanja perjalanan dinas kota,4
dinas pendidikan,bidang sarana prasarana,rehabilitasi ruang kelas beserta perabotnya sdn gadog kec megamendung dak fisik,program pengelolaan pendidikan,pengelolaan pendidikan sekolah dasar,rehabilitasi berat ruang kelas,belanja modal bangunan gedung pendidikan,3
dinas kesehatan,bidang sumberdaya kesehatan,pembayaran belanja modal alat laboratorium pengadaan centrifuge sub kegiatan pengadaan alat kesehatanalat penunjang medik fasilitas pelayanan kesehatan,program pemenuhan upaya kesehatan perorangan upaya kesehatan masyarakat,penyediaan fasilitas pelayanan kesehatan ukm ukp kewenangan daerah kabupaten kota,pengadaan alat kesehatan alat penunjang medik fasilitas pelayanan kesehatan,belanja modal alat laboratorium,2
dinas perhubungan,sekretariat dishub,sub keg penyediaan jasa pemeliharaan biaya pemeliharaan pajak perizinan kendaraan dinas operasional lapangan juli,program penunjang urusan pemerintahan daerah kabupaten kota,pemeliharaan barang milik daerah penunjangurusan pemerintahan daerah,penyediaan jasa pemeliharaan biaya pemeliharaan pajak perizinan kendaraan dinas operasional lapangan,belanja pemeliharaan alat angkutanalat angkutan darat bermotorkendaraan dinas bermotor perorangan,3
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,belanja perjalanan dinas kota sub keg pelaksanaan kebijakan bidang pendidikan politik etika budaya politik peningkatan demokrasi,program peningkatan peran partai politik lembaga pendidikan pendidikan politik pengembangan etika budaya politik,perumusan kebijakan teknis pemantapan pelaksanaan bidang pendidikan politik etika budaya politik peningkatan demokrasi fasilitasi kelembagaan pemerintahan perwakilan partai politik pemilihan pemilihan kepala daerah pemantauan situasi politik,pelaksanaan kebijakan bidang pendidikan politik etika budaya politik peningkatan demokrasi fasilitasi kelembagaan pemerintahan perwakilan partai politik pemilihan pemilihan kepala daerah pemantauan situasi politik daerah,belanja perjalanan dinas kota,1
dinas komunikasi informatika,bidang persandian statistik,belanja alat tulis kantor bahan cetak makanan minuman rapat sub kegiatan operasionalisasi jaring komunikasi sandi pemerintah daerah kabupaten kota,program penyelenggaraan persandian pengamanan informasi,penetapan pola hubungan komunikasi sandi perangkat daerah kabupaten kota,operasionalisasi jaring komunikasi sandi pemerintah daerah kabupaten kota,belanja makanan minuman rapat,4
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,belanja kertas cover belanja bahan cetak belanja bahan komputer belanja alat listrik sub keg pelaksanaan kebijakan bidang pendaftaran ormas pemberdayaan ormas,program pemberdayaan pengawasan organisasi kemasyarakatan,perumusan kebijakan teknis pemantapan pelaksanaan bidang pemberdayaan pengawasan organisasi kemasyarakatan,pelaksanaan kebijakan bidang pendaftaran ormas pemberdayaan ormas evaluasi mediasi sengketa ormas pengawasan ormas ormas asing daerah,belanja alat bahan kegiatan kantorbahan komputer,1
dinas kependudukan pencatatan sipil,bidang pemanfaatan data inovasi pelayanan,pengajuan gu sub kegiatan sosialisasi terkait pengelolaan informasi administrasi kependudukan agustus,program pengelolaan informasi administrasi kependudukan,penyelenggaraan pengelolaan informasi administrasi kependudukan,sosialisasi terkait pengelolaan informasi administrasi kependudukan,belanja makanan minuman rapat,2
dinas pemuda olahraga,sekretariat dispora,belanja makanan minuman jamuan tamu kegiatan fasilitasi kunjungan tamu termin,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi perangkat daerah,fasilitasi kunjungan tamu,belanja makanan minuman jamuan tamu,4
dinas pekerjaan penataan ruang,bidang penyehatan lingkungan,pembayaran termin kesatu pembangunan tangki septik skala individual perdesaan minimal kk desa bojong koneng kec babakan madang dak fisik reguler pengembangan sistem pengelolaan air limbah domestik,program pengelolaan pengembangan sistem air limbah,pengelolaan pengembangan sistem air limbah domestik daerah kabupaten kota,pembangunan penyediaan sistem pengelolaan air limbah terpusat skala permukiman,belanja hibah uang badan lembaga nirlaba sukarela bersifat sosial kemasyarakatan,2
dinas komunikasi informatika,upt radio televisi siaran pemerintah daerah,belanja perjalanan dinas kota sub kegiatan kemitraan pemangku kepentingan,program pengelolaan informasi komunikasi publik,pengelolaan informasi komunikasi publik pemerintah daerah kabupaten kota,kemitraan pemangku kepentingan,belanja perjalanan dinas kota,4
dinas kependudukan pencatatan sipil,upt kependudukan pencatatan sipil wilayah vii,pengajuan gu sub kegiatan pelayanan aktif pendaftaran peristiwa kependudukan pencatatan peristiwa terkait pencatatan sipil upt wilayah vii cileungsi agustus,program pencatatan sipil,penyelenggaraan pencatatan sipil,pelayanan aktif pendaftaran peristiwa kependudukan pencatatan peristiwa terkait pencatatan sipil,belanja alat bahan kegiatan kantor bahan cetak,1
dinas sosial,bidang rehabilitasi sosial,pemberian bimbingan sosial keluarga penyandang disabilitas terlantar anak terlantar usia terlantar gelandangan pengemis masyarakat,program rehabilitasi sosial,rehabilitasi sosial dasar penyandang disabilitas terlantar anak terlantar usia terlantar gelandangan pengemis panti sosial,pemberian bimbingan sosial keluarga penyandang disabilitas terlantar anak terlantar usia terlantar gelandangan pengemis masyarakat,belanja perjalanan dinas paket meeting kota,3
dinas pemuda olahraga,sekretariat dispora,belanja pemeliharaan alat angkutanalat angkutan darat bermotorkendaraan bermotor beroda,program penunjang urusan pemerintahan daerah kabupaten kota,pemeliharaan barang milik daerah penunjangurusan pemerintahan daerah,penyediaan jasa pemeliharaan biaya pemeliharaan pajak kendaraan perorangan dinas kendaraan dinas jabatan,belanja pemeliharaan alat angkutanalat angkutan darat bermotorkendaraan bermotor beroda,4
dinas pendidikan,bidang paud dikmas,pengajuan gu belanja atk kertas cover bahan komputer belanja perjalanan dinas kota sub kegiatan peningkatan kapasitas peningkatan kapasitas pengelolaan dana bos sekolah menengah dau ta,program pengelolaan pendidikan,pengelolaan pendidikan sekolah menengah,peningkatan kapasitas pengelolaan dana bos sekolah menengah,belanja perjalanan dinas kota,2
dinas sosial,bidang pemberdayaan sosial,peningkatan kemampuan potensi sumber kesejahteraan sosial kelembagaan masyarakat kewenangan kabupaten kota,program pemberdayaan sosial,pengembangan potensi sumber kesejahteraan sosial daerah kabupaten kota,peningkatan kemampuan potensi sumber kesejahteraan sosial kelembagaan masyarakat kewenangan kabupaten kota,belanja perjalanan dinas,2
dinas pekerjaan penataan ruang,bidang irigasi sumberdaya air,pembayaran termyn i termyn ii prestasi pekerjaan subsub kegiatan penyusunan ded tanggul penahan tebing paket i,program pengelolaan sumber daya air sda,pengembangan pengelolaan sistem irigasi primer sekunder daerah irigasi luasnya ha daerah kabupaten kota,penyusunan rencana teknis dokumen lingkungan hidup konstruksi irigasi rawa,belanja modal bangunan air irigasi,2
dinas kesehatan,rsud cileungsi,rsud cileungsi pembayaran tunjangan tamsil pengelola keuangan pengadaan barangjasa bmd juli,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi keuangan perangkat daerah,penyediaan gaji tunjangan asn,belanja honorarium penanggungjawaban pengelola keuangan,3
dinas kesehatan,rsud cibinong,pembayaran tamsil tkk juli,program pemenuhan upaya kesehatan perorangan upaya kesehatan masyarakat,penyediaan layanan kesehatan ukm ukp rujukan tingkat daerah kabupaten kota,operasional pelayanan rumah sakit,belanja jasa tenaga kesehatan,1
dinas kesehatan,bidang pelayanan kesehatan,pembayaran ls belanja pelayanan kesehatan diluar cakupan layanan bpjs rs dr h marzoeki mahdi bogor april sub kegiatan pengelolaan jaminan kesehatan masyrakat,program pemenuhan upaya kesehatan perorangan upaya kesehatan masyarakat,penyediaan layanan kesehatan ukm ukp rujukan tingkat daerah kabupaten kota,pengelolaan jaminan kesehatan masyarakat,belanja pembayaran pelayanan kesehatan cakupan layanan bpjs,2
dinas perhubungan,bidang lintas jalan,belanja perjalanan dinas kota atcs sub keg pengadaan pemasangan perbaikan pemeliharaan perlengkapan jalan rangka manajemen rekayasa lintas,program penyelenggaraan lintas angkutan jalan llaj,pelaksanaan manajemen rekayasa lintas jaringan jalan kabupaten kota,pengadaan pemasangan perbaikan pemeliharaan perlengkapan jalan rangka manajemen rekayasa lintas,belanja perjalanan dinas kota,4
dinas pendidikan,sekretariat dinas pendidikan,pengajuan pembayaran belanja tagihan internet agustus smpn cigombong sub kegiatan penyediaan jasa komunikasi sumber daya air listrik id pel,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja kawat faksimili internet tv berlangganan,3
dinas komunikasi informatika,bidang persandian statistik,belanja alat tulis kantor kertas cover bahan cetak bahan komputer honorarium narasumber sub kegiatan membangun metadata statistik sektoral,program penyelenggaraan statistik sektoral,penyelenggaraan statistik sektoral lingkup daerah kabupaten kota,membangun metadata statistik sektoral,honorarium narasumber pembahas moderator pembawa acara panitia,4
dinas kependudukan pencatatan sipil,bidang pelayanan pencatatan sipil,pengajuan gu sub kegiatan pencatatan penatausahaan penerbitan dokumen pelaporan peristiwa agustus,program pencatatan sipil,pelayanan pencatatan sipil,pencatatan penatausahaan penerbitan dokumen pelaporan peristiwa,belanja alat bahan kegiatan kantor bahan cetak,2
dinas kesehatan,upt laboratorium kesehatan daerah,pembayaran ls belanja jasa tenaga belanja jasa tagihan juli sub kegiatan operasional pelayanan fasilitas kesehatan upt labkesda sumber dana dau tematik ditentukan,program pemenuhan upaya kesehatan perorangan upaya kesehatan masyarakat,penyediaan layanan kesehatan ukm ukp rujukan tingkat daerah kabupaten kota,operasional pelayanan fasilitas kesehatan,belanja jasa tenaga kebersihan,1
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan alokasi dana desa tahap ii desa pabuaran kec sukamakmur,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa bersumber alokasi dana desa,1
dinas kesehatan,rsud cibinong,pembayaran tamsil pengelola keuangan tamsil pengelola bmd juli,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi keuangan perangkat daerah,penyediaan gaji tunjangan asn,belanja jasa pengelolaan bmd menghasilkan pendapatan,4
dinas pendidikan,bidang sarana prasarana,rehabilitasi ruang kelas beserta perabotnya sdn bojong kec sukajaya dak fisik,program pengelolaan pendidikan,pengelolaan pendidikan sekolah dasar,rehabilitasi berat ruang kelas,belanja modal bangunan gedung pendidikan,3
